DestinationID,Name,State,Type,Popularity,BestTimeToVisit,Season,PopularityTier,AvgRating,ReviewCount,RatingStd,TextReviewCount,BudgetLevel,CompositeScore
26,Taj Mahal,Uttar Pradesh,Historical,9.088205553232354,Nov-Feb,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4272646166596972
27,Goa Beaches,Goa,Beach,7.504499933755479,Nov-Mar,Year-round,Hidden Gem,2.0,1.0,0.0,1.0,Budget,1.03045765396925
28,Jaipur City,Rajasthan,City,8.471855314612888,Oct-Mar,Year-round,Emerging,2.0,1.0,0.0,1.0,Budget,1.0333597201118223
29,Kerala Backwaters,Kerala,Nature,8.320514389999829,Sep-Mar,Year-round,Emerging,2.0,1.0,0.0,1.0,Budget,1.032905697337983
30,Leh Ladakh,Jammu and Kashmir,Adventure,7.930637906720852,Apr-Jun,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4237919137201627
31,Taj Mahal,Uttar Pradesh,Historical,8.534267493855534,Nov-Feb,Year-round,Popular,3.0,1.0,0.0,1.0,Moderate,1.4335469566495505
32,Goa Beaches,Goa,Beach,7.8063301955187105,Nov-Mar,Year-round,Hidden Gem,5.0,1.0,0.0,1.0,Budget,2.23136314475454
33,Jaipur City,Rajasthan,City,7.684440449007848,Oct-Mar,Year-round,Hidden Gem,2.0,1.0,0.0,1.0,Budget,1.0309974755150073
34,Kerala Backwaters,Kerala,Nature,8.206055639263237,Sep-Mar,Year-round,Emerging,5.0,1.0,0.0,1.0,Budget,2.2325623210857732
35,Leh Ladakh,Jammu and Kashmir,Adventure,8.115627955366532,Apr-Jun,Year-round,Emerging,1.0,1.0,0.0,1.0,Budget,0.6322910380340833
36,Taj Mahal,Uttar Pradesh,Historical,8.152769658316458,Nov-Feb,Year-round,Emerging,3.5,0.0,,,Budget,1.4244583089749494
37,Goa Beaches,Goa,Beach,8.874757885859394,Nov-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4266242736575783
38,Jaipur City,Rajasthan,City,9.458687607787096,Oct-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4283760628233615
39,Kerala Backwaters,Kerala,Nature,9.276722027226734,Sep-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4278301660816803
40,Leh Ladakh,Jammu and Kashmir,Adventure,9.451473447708324,Apr-Jun,Year-round,Top Attraction,3.0,1.0,0.0,1.0,Premium,1.4362985745111088
41,Taj Mahal,Uttar Pradesh,Historical,9.45205627034071,Nov-Feb,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4283561688110222
42,Goa Beaches,Goa,Beach,8.854828172623169,Nov-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4265644845178695
43,Jaipur City,Rajasthan,City,8.935833780679161,Oct-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4268075013420376
44,Kerala Backwaters,Kerala,Nature,8.844208014043545,Sep-Mar,Year-round,Popular,2.0,1.0,0.0,1.0,Moderate,1.0344767782101143
45,Leh Ladakh,Jammu and Kashmir,Adventure,8.987615299121257,Apr-Jun,Year-round,Popular,3.5,0.0,,,Moderate,1.426962845897364
46,Taj Mahal,Uttar Pradesh,Historical,8.66663306287539,Nov-Feb,Year-round,Popular,4.0,2.0,0.0,2.0,Moderate,1.955583585789059
47,Goa Beaches,Goa,Beach,7.726020724706562,Nov-Mar,Year-round,Hidden Gem,3.0,2.0,1.4142135623730951,2.0,Budget,1.5527617487745529
48,Jaipur City,Rajasthan,City,9.072662351480414,Oct-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4272179870544415
49,Kerala Backwaters,Kerala,Nature,8.0159728308643,Sep-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.424047918492593
50,Leh Ladakh,Jammu and Kashmir,Adventure,8.18047732584072,Apr-Jun,Year-round,Emerging,1.0,1.0,0.0,1.0,Budget,0.6324855861455058
51,Taj Mahal,Uttar Pradesh,Historical,8.329362264700663,Nov-Feb,Year-round,Emerging,2.5,2.0,2.1213203435596424,2.0,Budget,1.3545717733945348
52,Goa Beaches,Goa,Beach,8.298754590990846,Nov-Mar,Year-round,Emerging,2.3333333333333335,3.0,1.5275252316519465,3.0,Budget,1.3741179054422732
53,Jaipur City,Rajasthan,City,8.399568313158765,Oct-Mar,Year-round,Emerging,1.0,1.0,0.0,1.0,Budget,0.6331428591074599
54,Kerala Backwaters,Kerala,Nature,8.116931496368345,Sep-Mar,Year-round,Emerging,2.0,1.0,0.0,1.0,Budget,1.0322949486570887
55,Leh Ladakh,Jammu and Kashmir,Adventure,7.560629646730556,Apr-Jun,Year-round,Hidden Gem,5.0,2.0,0.0,2.0,Budget,2.3522655755406245
56,Taj Mahal,Uttar Pradesh,Historical,8.77933917498307,Nov-Feb,Year-round,Popular,2.5,2.0,0.7071067811865476,2.0,Moderate,1.3559217041253822
57,Goa Beaches,Goa,Beach,8.061326287087322,Nov-Mar,Year-round,Emerging,1.0,1.0,0.0,1.0,Budget,0.6321281330292456
58,Jaipur City,Rajasthan,City,8.648115222412239,Oct-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.425944345667237
59,Kerala Backwaters,Kerala,Nature,9.490122865222292,Sep-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.428470368595667
60,Leh Ladakh,Jammu and Kashmir,Adventure,8.090294276209098,Apr-Jun,Year-round,Emerging,2.3333333333333335,3.0,0.5773502691896258,3.0,Budget,1.373492524497928
61,Taj Mahal,Uttar Pradesh,Historical,9.255411351531992,Nov-Feb,Year-round,Top Attraction,4.0,1.0,0.0,1.0,Premium,1.8357103882225796
62,Goa Beaches,Goa,Beach,9.379786903532915,Nov-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4281393607105988
63,Jaipur City,Rajasthan,City,9.202094230781736,Oct-Mar,Year-round,Top Attraction,1.0,1.0,0.0,1.0,Premium,0.6355504368603289
64,Kerala Backwaters,Kerala,Nature,7.995381521960635,Sep-Mar,Year-round,Hidden Gem,1.3333333333333333,3.0,0.5773502691896257,3.0,Budget,0.9732077862351823
65,Leh Ladakh,Jammu and Kashmir,Adventure,8.264285623199319,Apr-Jun,Year-round,Emerging,3.5,0.0,,,Budget,1.424792856869598
66,Taj Mahal,Uttar Pradesh,Historical,8.657185750902032,Nov-Feb,Year-round,Popular,3.5,0.0,,,Moderate,1.4259715572527063
67,Goa Beaches,Goa,Beach,7.593468221686345,Nov-Mar,Year-round,Hidden Gem,3.0,1.0,0.0,1.0,Budget,1.4307245588330428
68,Jaipur City,Rajasthan,City,7.599766915318256,Oct-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.422799300745955
69,Kerala Backwaters,Kerala,Nature,9.251449511759905,Sep-Mar,Year-round,Top Attraction,5.0,1.0,0.0,1.0,Premium,2.235698502703263
70,Leh Ladakh,Jammu and Kashmir,Adventure,8.302199786049163,Apr-Jun,Year-round,Emerging,2.0,1.0,0.0,1.0,Budget,1.032850753526131
71,Taj Mahal,Uttar Pradesh,Historical,7.918856059125499,Nov-Feb,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4237565681773767
72,Goa Beaches,Goa,Beach,9.49812898326928,Nov-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.428494386949808
73,Jaipur City,Rajasthan,City,9.365362186929548,Oct-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4280960865607888
74,Kerala Backwaters,Kerala,Nature,8.61852560875922,Sep-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4258555768262777
75,Leh Ladakh,Jammu and Kashmir,Adventure,8.051674304536373,Apr-Jun,Year-round,Emerging,5.0,1.0,0.0,1.0,Budget,2.2320991770815928
76,Taj Mahal,Uttar Pradesh,Historical,9.019776840711156,Nov-Feb,Year-round,Popular,3.0,1.0,0.0,1.0,Moderate,1.4350034846901172
77,Goa Beaches,Goa,Beach,8.72436552320658,Nov-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4261730965696198
78,Jaipur City,Rajasthan,City,8.697245496090385,Oct-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4260917364882713
79,Kerala Backwaters,Kerala,Nature,8.48262944456915,Sep-Mar,Year-round,Emerging,3.5,0.0,,,Budget,1.4254478883337076
80,Leh Ladakh,Jammu and Kashmir,Adventure,9.167168852535996,Apr-Jun,Year-round,Top Attraction,3.6666666666666665,3.0,2.3094010767585034,3.0,Premium,1.910056481560242
81,Taj Mahal,Uttar Pradesh,Historical,8.113730398100675,Nov-Feb,Year-round,Emerging,3.5,0.0,,,Budget,1.4243411911943022
82,Goa Beaches,Goa,Beach,8.067416540924038,Nov-Mar,Year-round,Emerging,4.5,2.0,0.7071067811865476,2.0,Budget,2.153785936223205
83,Jaipur City,Rajasthan,City,9.25520276869782,Oct-Mar,Year-round,Top Attraction,3.0,1.0,0.0,1.0,Premium,1.4357097624740773
84,Kerala Backwaters,Kerala,Nature,9.33374854303011,Sep-Mar,Year-round,Top Attraction,2.6666666666666665,3.0,2.0816659994661326,3.0,Premium,1.5105562206317242
85,Leh Ladakh,Jammu and Kashmir,Adventure,7.877439168200071,Apr-Jun,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4236323175046004
86,Taj Mahal,Uttar Pradesh,Historical,8.093807911279,Nov-Feb,Year-round,Emerging,3.5,0.0,,,Budget,1.424281423733837
87,Goa Beaches,Goa,Beach,8.322799778823294,Nov-Mar,Year-round,Emerging,3.5,0.0,,,Budget,1.42496839933647
88,Jaipur City,Rajasthan,City,9.018383603515831,Oct-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4270551508105476
89,Kerala Backwaters,Kerala,Nature,8.686130970942902,Sep-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4260583929128288
90,Leh Ladakh,Jammu and Kashmir,Adventure,7.864848872360961,Apr-Jun,Year-round,Hidden Gem,2.0,3.0,1.7320508075688772,3.0,Budget,1.23948285495305
91,Taj Mahal,Uttar Pradesh,Historical,8.775155892425978,Nov-Feb,Year-round,Popular,5.0,1.0,0.0,1.0,Moderate,2.2342696218452613
92,Goa Beaches,Goa,Beach,7.842354721882594,Nov-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.423527064165648
93,Jaipur City,Rajasthan,City,9.116298424696906,Oct-Mar,Year-round,Top Attraction,2.6666666666666665,3.0,2.0816659994661326,3.0,Premium,1.5099038702767247
94,Kerala Backwaters,Kerala,Nature,7.678657960181018,Sep-Mar,Year-round,Hidden Gem,2.5,2.0,0.7071067811865476,2.0,Budget,1.352619660480976
95,Leh Ladakh,Jammu and Kashmir,Adventure,8.18716561676901,Apr-Jun,Year-round,Emerging,3.0,2.0,2.8284271247461903,2.0,Budget,1.55414518345074
96,Taj Mahal,Uttar Pradesh,Historical,8.984287702263758,Nov-Feb,Year-round,Popular,5.0,1.0,0.0,1.0,Moderate,2.234897017274775
97,Goa Beaches,Goa,Beach,8.882535315140167,Nov-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4266476059454207
98,Jaipur City,Rajasthan,City,7.511446246886857,Oct-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4225343387406606
99,Kerala Backwaters,Kerala,Nature,8.154277486295694,Sep-Mar,Year-round,Emerging,1.0,1.0,0.0,1.0,Budget,0.6324069866268707
100,Leh Ladakh,Jammu and Kashmir,Adventure,8.55062227154497,Apr-Jun,Year-round,Popular,3.5,0.0,,,Moderate,1.425651866814635
101,Taj Mahal,Uttar Pradesh,Historical,9.35787687156371,Nov-Feb,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4280736306146913
102,Goa Beaches,Goa,Beach,7.901206474541698,Nov-Mar,Year-round,Hidden Gem,2.0,1.0,0.0,1.0,Budget,1.0316477735916088
103,Jaipur City,Rajasthan,City,9.293866271159713,Oct-Mar,Year-round,Top Attraction,3.6666666666666665,3.0,0.5773502691896258,3.0,Premium,1.910436573816113
104,Kerala Backwaters,Kerala,Nature,9.032056856576263,Sep-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.427096170569729
105,Leh Ladakh,Jammu and Kashmir,Adventure,9.367695620218187,Apr-Jun,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4281030868606548
106,Taj Mahal,Uttar Pradesh,Historical,8.494823560399388,Nov-Feb,Year-round,Emerging,2.5,2.0,0.7071067811865476,2.0,Budget,1.355068157281631
107,Goa Beaches,Goa,Beach,8.670099991881528,Nov-Mar,Year-round,Popular,3.0,1.0,0.0,1.0,Moderate,1.4339544541436284
108,Jaipur City,Rajasthan,City,8.180179995253692,Oct-Mar,Year-round,Emerging,5.0,1.0,0.0,1.0,Budget,2.2324846941537446
109,Kerala Backwaters,Kerala,Nature,8.024075275103758,Sep-Mar,Year-round,Hidden Gem,3.0,2.0,0.0,2.0,Budget,1.5536559124257443
110,Leh Ladakh,Jammu and Kashmir,Adventure,8.885980061188206,Apr-Jun,Year-round,Popular,5.0,1.0,0.0,1.0,Moderate,2.234602094351548
111,Taj Mahal,Uttar Pradesh,Historical,8.979764648904338,Nov-Feb,Year-round,Popular,3.5,0.0,,,Moderate,1.4269392939467131
112,Goa Beaches,Goa,Beach,8.196505600821453,Nov-Mar,Year-round,Emerging,1.0,1.0,0.0,1.0,Budget,0.632533670970448
113,Jaipur City,Rajasthan,City,7.576534512918616,Oct-Mar,Year-round,Hidden Gem,3.0,3.0,1.7320508075688772,3.0,Budget,1.6386179118747233
114,Kerala Backwaters,Kerala,Nature,9.46714704036077,Sep-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4284014411210824
115,Leh Ladakh,Jammu and Kashmir,Adventure,8.717346793179837,Apr-Jun,Year-round,Popular,1.0,1.0,0.0,1.0,Moderate,0.6340961945475232
116,Taj Mahal,Uttar Pradesh,Historical,8.636073233725135,Nov-Feb,Year-round,Popular,2.0,2.0,0.0,2.0,Moderate,1.1554919063016083
117,Goa Beaches,Goa,Beach,9.21979801445382,Nov-Mar,Year-round,Top Attraction,4.0,1.0,0.0,1.0,Premium,1.835603548211345
118,Jaipur City,Rajasthan,City,7.69898565359074,Oct-Mar,Year-round,Hidden Gem,2.75,4.0,1.2583057392117916,4.0,Budget,1.6059283306910024
119,Kerala Backwaters,Kerala,Nature,8.953643159740016,Sep-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4268609294792203
120,Leh Ladakh,Jammu and Kashmir,Adventure,7.928950861748308,Apr-Jun,Year-round,Hidden Gem,3.0,1.0,0.0,1.0,Budget,1.4317310067532287
121,Taj Mahal,Uttar Pradesh,Historical,8.624112218256297,Nov-Feb,Year-round,Popular,3.0,2.0,2.8284271247461903,2.0,Moderate,1.555456023255202
122,Goa Beaches,Goa,Beach,7.791202932648026,Nov-Mar,Year-round,Hidden Gem,4.0,1.0,0.0,1.0,Budget,1.8313177629659279
123,Jaipur City,Rajasthan,City,9.31595003961975,Oct-Mar,Year-round,Top Attraction,2.75,4.0,1.5000000000000002,4.0,Premium,1.6107792238490894
124,Kerala Backwaters,Kerala,Nature,7.921320004258767,Sep-Mar,Year-round,Hidden Gem,5.0,1.0,0.0,1.0,Budget,2.2317081141807598
125,Leh Ladakh,Jammu and Kashmir,Adventure,8.13647203127079,Apr-Jun,Year-round,Emerging,3.5,0.0,,,Budget,1.4244094160938126
126,Taj Mahal,Uttar Pradesh,Historical,8.271757062443388,Nov-Feb,Year-round,Emerging,3.5,0.0,,,Budget,1.4248152711873303
127,Goa Beaches,Goa,Beach,8.132745077467629,Nov-Mar,Year-round,Emerging,3.0,1.0,0.0,1.0,Budget,1.4323423894003866
128,Jaipur City,Rajasthan,City,7.513479447324053,Oct-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4225404383419722
129,Kerala Backwaters,Kerala,Nature,9.066328357904666,Sep-Mar,Year-round,Top Attraction,4.0,1.0,0.0,1.0,Premium,1.8351431392416977
130,Leh Ladakh,Jammu and Kashmir,Adventure,9.46063445778344,Apr-Jun,Year-round,Top Attraction,2.6666666666666665,3.0,2.0816659994661326,3.0,Premium,1.5109368783759842
131,Taj Mahal,Uttar Pradesh,Historical,8.853926858989041,Nov-Feb,Year-round,Popular,3.5,0.0,,,Moderate,1.4265617805769673
132,Goa Beaches,Goa,Beach,8.188672007745929,Nov-Mar,Year-round,Emerging,3.5,4.0,1.7320508075688772,4.0,Budget,1.907397389753468
133,Jaipur City,Rajasthan,City,7.813559346844389,Oct-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4234406780405333
134,Kerala Backwaters,Kerala,Nature,7.743269418238725,Sep-Mar,Year-round,Hidden Gem,5.0,1.0,0.0,1.0,Budget,2.2311739624227
135,Leh Ladakh,Jammu and Kashmir,Adventure,9.398122784522716,Apr-Jun,Year-round,Top Attraction,4.0,1.0,0.0,1.0,Premium,1.8361385225215519
136,Taj Mahal,Uttar Pradesh,Historical,8.15356207947505,Nov-Feb,Year-round,Emerging,2.0,1.0,0.0,1.0,Budget,1.0324048404064088
137,Goa Beaches,Goa,Beach,8.863570277264008,Nov-Mar,Year-round,Popular,2.0,2.0,0.0,2.0,Moderate,1.156174397432225
138,Jaipur City,Rajasthan,City,9.195643436953048,Oct-Mar,Year-round,Top Attraction,4.0,1.0,0.0,1.0,Premium,1.8355310844788428
139,Kerala Backwaters,Kerala,Nature,8.426322913287258,Sep-Mar,Year-round,Emerging,3.5,0.0,,,Budget,1.425278968739862
140,Leh Ladakh,Jammu and Kashmir,Adventure,8.907807740975244,Apr-Jun,Year-round,Popular,2.6666666666666665,3.0,1.5275252316519468,3.0,Moderate,1.5092783982255595
141,Taj Mahal,Uttar Pradesh,Historical,7.618133331669091,Nov-Feb,Year-round,Hidden Gem,1.5,2.0,0.7071067811865476,2.0,Budget,0.9524380865954403
142,Goa Beaches,Goa,Beach,7.601039201109356,Nov-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4228031176033282
143,Jaipur City,Rajasthan,City,8.299735698712732,Oct-Mar,Year-round,Emerging,3.5,0.0,,,Budget,1.4248992070961384
144,Kerala Backwaters,Kerala,Nature,7.8305412284530735,Sep-Mar,Year-round,Hidden Gem,3.5,2.0,2.1213203435596424,2.0,Budget,1.7530753102857923
145,Leh Ladakh,Jammu and Kashmir,Adventure,9.388011428887994,Apr-Jun,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4281640342866642
146,Taj Mahal,Uttar Pradesh,Historical,8.373844119971205,Nov-Feb,Year-round,Emerging,4.0,2.0,1.4142135623730951,2.0,Budget,1.9547052189603467
147,Goa Beaches,Goa,Beach,7.770934466715671,Nov-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4233128034001472
148,Jaipur City,Rajasthan,City,7.69274109154765,Oct-Mar,Year-round,Hidden Gem,4.0,1.0,0.0,1.0,Budget,1.8310223774426266
149,Kerala Backwaters,Kerala,Nature,7.812523860815096,Sep-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4234375715824454
150,Leh Ladakh,Jammu and Kashmir,Adventure,8.863872329774836,Apr-Jun,Year-round,Popular,3.0,2.0,0.0,2.0,Moderate,1.5561753035897576
151,Taj Mahal,Uttar Pradesh,Historical,9.450175079123191,Nov-Feb,Year-round,Top Attraction,1.0,1.0,0.0,1.0,Premium,0.6362946794053532
152,Goa Beaches,Goa,Beach,9.000248319359416,Nov-Mar,Year-round,Popular,2.0,1.0,0.0,1.0,Moderate,1.034944899126062
153,Jaipur City,Rajasthan,City,9.072635913777948,Oct-Mar,Year-round,Top Attraction,3.0,1.0,0.0,1.0,Premium,1.4351620619093177
154,Kerala Backwaters,Kerala,Nature,9.48479754719289,Sep-Mar,Year-round,Top Attraction,3.0,1.0,0.0,1.0,Premium,1.4363985468095624
155,Leh Ladakh,Jammu and Kashmir,Adventure,7.933121408559026,Apr-Jun,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4237993642256772
156,Taj Mahal,Uttar Pradesh,Historical,8.96758311752555,Nov-Feb,Year-round,Popular,1.0,1.0,0.0,1.0,Moderate,0.6348469035205603
157,Goa Beaches,Goa,Beach,7.607643334351276,Nov-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.422822930003054
158,Jaipur City,Rajasthan,City,8.533439718586166,Oct-Mar,Year-round,Popular,3.5,0.0,,,Moderate,1.4256003191557587
159,Kerala Backwaters,Kerala,Nature,8.017566360422618,Sep-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.424052699081268
160,Leh Ladakh,Jammu and Kashmir,Adventure,8.0366846404497,Apr-Jun,Year-round,Emerging,3.0,4.0,1.8257418583505538,4.0,Budget,1.7069414276515793
161,Taj Mahal,Uttar Pradesh,Historical,7.738547101644033,Nov-Feb,Year-round,Hidden Gem,2.0,1.0,0.0,1.0,Budget,1.0311597954729157
162,Goa Beaches,Goa,Beach,7.5447704698175055,Nov-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4226343114094526
163,Jaipur City,Rajasthan,City,8.168780568830128,Oct-Mar,Year-round,Emerging,2.0,1.0,0.0,1.0,Budget,1.032450495874474
164,Kerala Backwaters,Kerala,Nature,7.81836693407545,Sep-Mar,Year-round,Hidden Gem,4.0,1.0,0.0,1.0,Budget,1.83139925497021
165,Leh Ladakh,Jammu and Kashmir,Adventure,7.554650204523121,Apr-Jun,Year-round,Hidden Gem,2.0,1.0,0.0,1.0,Budget,1.030608104781553
166,Taj Mahal,Uttar Pradesh,Historical,7.967520190746358,Nov-Feb,Year-round,Hidden Gem,1.75,4.0,0.9574271077563381,4.0,Budget,1.2067339343024692
167,Goa Beaches,Goa,Beach,9.1852981894065,Nov-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4275558945682196
168,Jaipur City,Rajasthan,City,7.634504263080543,Oct-Mar,Year-round,Hidden Gem,1.0,1.0,0.0,1.0,Budget,0.6308476669572253
169,Kerala Backwaters,Kerala,Nature,7.686748942635202,Sep-Mar,Year-round,Hidden Gem,1.0,1.0,0.0,1.0,Budget,0.6310044009958893
170,Leh Ladakh,Jammu and Kashmir,Adventure,7.848982805962368,Apr-Jun,Year-round,Hidden Gem,4.0,1.0,0.0,1.0,Budget,1.831491102585871
171,Taj Mahal,Uttar Pradesh,Historical,7.721043377213922,Nov-Feb,Year-round,Hidden Gem,3.0,1.0,0.0,1.0,Budget,1.4311072842996255
172,Goa Beaches,Goa,Beach,9.486279939461564,Nov-Mar,Year-round,Top Attraction,3.5,0.0,,,Premium,1.4284588398183848
173,Jaipur City,Rajasthan,City,7.722252209890692,Oct-Mar,Year-round,Hidden Gem,3.5,0.0,,,Budget,1.4231667566296722
174,Kerala Backwaters,Kerala,Nature,8.360692114959477,Sep-Mar,Year-round,Emerging,2.3333333333333335,3.0,2.3094010767585034,3.0,Budget,1.374303718014179
175,Leh Ladakh,Jammu and Kashmir,Adventure,8.866219313947683,Apr-Jun,Year-round,Popular,3.5,0.0,,,Moderate,1.4265986579418433
176,Taj Mahal,Uttar Pradesh,Historical,8.165093921735247,Nov-Feb,Year-round,Emerging,2.5,2.0,2.1213203435596424,2.0,Budget,1.3540789683656387
177,Goa Beaches,Goa,Beach,9.446896779006565,Nov-Mar,Year-round,Top Attraction,2.0,2.0,0.0,2.0,Premium,1.1579243769374528
178,Jaipur City,Rajasthan,City,8.544351694378236,Oct-Mar,Year-round,Popular,3.5,2.0,2.1213203435596424,2.0,Moderate,1.7552167416835678
179,Kerala Backwaters,Kerala,Nature,8.299149270820505,Sep-Mar,Year-round,Emerging,1.0,1.0,0.0,1.0,Budget,0.6328416019804451
180,Leh Ladakh,Jammu and Kashmir,Adventure,8.091363134430685,Apr-Jun,Year-round,Emerging,4.5,2.0,0.7071067811865476,2.0,Budget,2.1538577760037247
